#NET=AH,STA=ANQ,MINCC=0.80,XYFILE=AH.ANQ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|HUS|35|1.19|3.59|1.33|3.54|2013-04-06T04:42:00Z|2013-09-01T11:52:00Z
AH|HUS||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=JAS,MINCC=0.80,XYFILE=AH.JAS.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|JAS|69|4.60|3.24|4.72|2.94|2007-08-01T17:08:00Z|2010-07-25T03:39:00Z
AH|JAS|2|7.17|11.91|7.17|12.48|2010-07-30T03:56:00Z|2010-08-15T15:09:00Z
AH|JAS|89|-2.48|3.88|-2.80|2.82|2010-08-20T17:56:00Z|2012-11-19T09:44:00Z
AH|JAS|8|-6.16|5.64|-4.96|4.28|2012-12-10T16:53:00Z|2013-04-16T22:55:00Z
AH|JAS|21|3.40|3.80|3.84|4.76|2013-04-19T19:58:00Z|2013-09-01T11:52:00Z
AH|JAS||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=JIX,MINCC=0.80,XYFILE=AH.JIX.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|JIX|19|-3.84|8.44|-2.56|9.25|2007-08-01T17:08:00Z|2008-01-22T17:14:00Z
AH|JIX|6|-1.15|29.11|-12.62|3.17|2008-02-14T10:09:00Z|2008-02-26T18:18:00Z
AH|JIX|1|-11.67|NA|-11.67|0.00|2008-03-03T02:37:00Z|2008-03-03T02:37:00Z
AH|JIX|163|-3.93|6.01|-3.35|5.38|2008-03-03T09:31:00Z|2011-05-10T08:55:00Z
AH|JIX|88|6.44|5.84|7.13|5.84|2011-05-15T18:37:00Z|2013-01-05T08:58:00Z
AH|JIX|32|2.33|5.41|3.37|3.94|2013-01-28T16:38:00Z|2013-09-01T11:52:00Z
AH|JIX||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=JZA,MINCC=0.80,XYFILE=AH.JZA.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|JZA|96|0.13|16.51|2.94|9.54|2007-08-08T17:04:00Z|2010-03-05T16:07:00Z
AH|JZA|2|-9.12|64.64|-9.12|67.77|2010-04-06T22:15:00Z|2010-04-11T09:40:00Z
AH|JZA|1|-62.13|NA|-62.13|0.00|2010-05-05T16:29:00Z|2010-05-05T16:29:00Z
AH|JZA|3|11.70|45.99|34.31|11.42|2010-05-27T17:14:00Z|2010-07-18T13:04:00Z
AH|JZA|20|62.89|13.64|65.68|4.09|2010-09-07T00:57:00Z|2011-05-10T08:55:00Z
AH|JZA|162|8.07|7.73|8.41|5.51|2011-05-14T21:07:00Z|2013-09-01T11:52:00Z
AH|JZA||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=LAN,MINCC=0.80,XYFILE=AH.LAN.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|LAN|56|58.97|6.39|57.47|4.61|2007-08-01T17:08:00Z|2008-03-12T11:23:00Z
AH|LAN|78|63.40|7.96|62.48|7.82|2008-03-15T14:43:00Z|2009-05-16T00:53:00Z
AH|LAN|168|34.08|6.68|33.30|7.25|2009-05-16T18:22:00Z|2012-05-24T22:47:00Z
AH|LAN|35|28.78|8.75|29.69|5.97|2012-05-29T07:00:00Z|2013-01-28T16:38:00Z
AH|LAN|39|1.73|7.14|0.36|5.77|2013-02-06T00:07:00Z|2013-08-12T04:16:00Z
AH|LAN||||||2013-08-12T04:16:00Z|NULL
#NET=AH,STA=LNA,MINCC=0.80,XYFILE=AH.LNA.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|LNA|83|-2.17|6.29|-2.09|4.05|2007-08-01T17:08:00Z|2009-04-21T05:26:00Z
AH|LNA||||||2009-04-21T05:26:00Z|NULL
#NET=AH,STA=MAS,MINCC=0.80,XYFILE=AH.MAS.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|MAS|9|-36.39|20.86|-37.86|8.29|2007-08-08T17:04:00Z|2007-10-25T13:50:00Z
AH|MAS|9|5.89|34.08|-5.25|10.87|2007-10-31T13:44:00Z|2008-02-20T08:08:00Z
AH|MAS|6|-25.69|15.16|-31.42|1.08|2008-02-24T14:46:00Z|2008-03-03T09:31:00Z
AH|MAS|91|4.74|5.25|5.28|3.59|2008-03-26T18:33:00Z|2009-09-02T07:55:00Z
AH|MAS|46|14.55|4.65|14.73|3.89|2009-09-07T16:12:00Z|2010-05-31T19:51:00Z
AH|MAS|49|-3.95|7.28|-1.36|7.61|2010-06-12T19:26:00Z|2013-09-01T11:52:00Z
AH|MAS||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=MCG,MINCC=0.80,XYFILE=AH.MCG.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|MCG|18|106.02|20.80|108.51|8.64|2009-07-15T20:10:00Z|2009-10-10T21:24:00Z
AH|MCG|3|76.09|45.51|60.86|30.70|2009-10-12T03:15:00Z|2009-10-13T11:38:00Z
AH|MCG|24|110.86|21.26|110.42|7.44|2009-10-13T20:21:00Z|2010-03-20T14:00:00Z
AH|MCG|19|161.65|29.20|168.16|11.67|2010-04-17T23:15:00Z|2010-09-07T00:57:00Z
AH|MCG|19|57.33|15.93|57.15|4.91|2010-09-08T11:37:00Z|2011-04-23T04:16:00Z
AH|MCG|166|1.31|4.18|1.73|3.54|2011-04-24T23:07:00Z|2013-09-01T11:52:00Z
AH|MCG||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=MCG1,MINCC=0.80,XYFILE=AH.MCG1.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|MCG1|2|-13.68|36.56|-13.68|38.33|2007-08-15T20:22:00Z|2007-09-12T23:49:00Z
AH|MCG1|7|-16.19|21.75|-18.31|23.59|2007-09-13T03:35:00Z|2007-10-25T13:50:00Z
AH|MCG1|4|-1.68|25.27|8.06|6.55|2007-10-31T13:44:00Z|2008-02-25T08:36:00Z
AH|MCG1|1|17.04|NA|17.04|0.00|2008-03-03T09:31:00Z|2008-03-03T09:31:00Z
AH|MCG1|13|7.38|19.76|2.87|5.95|2008-03-22T21:24:00Z|2008-06-08T12:25:00Z
AH|MCG1|74|58.22|4.19|58.05|4.00|2008-06-10T04:13:00Z|2009-07-07T19:11:00Z
AH|MCG1||||||2009-07-07T19:11:00Z|NULL
#NET=AH,STA=SCH,MINCC=0.80,XYFILE=AH.SCH.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|SCH|7|-29.92|23.82|-34.75|4.00|2007-08-08T17:04:00Z|2007-10-25T13:50:00Z
AH|SCH|56|1.30|10.74|0.80|5.90|2007-12-19T09:30:00Z|2010-03-20T14:00:00Z
AH|SCH|43|60.96|13.18|62.84|5.75|2010-04-05T10:05:00Z|2011-02-21T10:57:00Z
AH|SCH|47|49.67|6.85|48.87|4.15|2011-03-07T00:09:00Z|2012-04-06T16:15:00Z
AH|SCH|37|88.27|15.23|90.72|5.16|2012-04-14T19:26:00Z|2013-01-28T16:38:00Z
AH|SCH|30|-1.58|4.58|-1.86|3.14|2013-02-06T00:07:00Z|2013-09-01T11:52:00Z
AH|SCH||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=SIX,MINCC=0.80,XYFILE=AH.SIX.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|SIX|37|-28.93|20.61|-36.09|9.67|2007-08-08T17:04:00Z|2008-03-03T09:31:00Z
AH|SIX|206|1.12|14.50|1.22|4.56|2008-03-22T21:24:00Z|2011-01-09T10:03:00Z
AH|SIX|85|172.25|26.97|169.49|20.55|2011-01-13T16:16:00Z|2012-09-08T10:51:00Z
AH|SIX|12|197.75|32.61|187.94|36.52|2012-09-11T16:36:00Z|2012-12-21T22:28:00Z
AH|SIX|21|147.35|42.54|158.61|20.90|2013-01-28T16:38:00Z|2013-08-30T16:25:00Z
AH|SIX|2|1.43|0.01|1.43|0.01|2013-08-31T06:38:00Z|2013-09-01T11:52:00Z
AH|SIX||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=SJH,MINCC=0.80,XYFILE=AH.SJH.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|SJH|57|-3.15|10.31|-2.15|6.03|2007-08-01T17:08:00Z|2008-05-09T21:51:00Z
AH|SJH|1|-8.65|NA|-8.65|0.00|2008-06-22T23:56:00Z|2008-06-22T23:56:00Z
AH|SJH|2|18.79|38.93|18.79|40.82|2008-06-23T12:32:00Z|2008-08-30T06:54:00Z
AH|SJH|1|-4.53|NA|-4.53|0.00|2008-09-01T04:00:00Z|2008-09-01T04:00:00Z
AH|SJH|22|2.62|7.16|1.25|5.13|2008-09-06T05:47:00Z|2009-03-30T07:13:00Z
AH|SJH||||||2009-03-30T07:13:00Z|NULL
#NET=AH,STA=TOL,MINCC=0.80,XYFILE=AH.TOL.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|TOL|8|-25.84|9.45|-26.29|6.85|2007-08-02T13:37:00Z|2007-09-26T15:43:00Z
AH|TOL|20|-13.31|13.15|-20.54|9.86|2007-09-29T05:32:00Z|2008-03-03T09:31:00Z
AH|TOL|222|-0.93|7.04|-0.54|4.14|2008-03-22T21:24:00Z|2012-09-03T18:23:00Z
AH|TOL|1|-25.21|NA|-25.21|0.00|2012-09-14T04:51:00Z|2012-09-14T04:51:00Z
AH|TOL|2|-6.96|12.30|-6.96|12.89|2012-10-03T13:32:00Z|2012-10-08T11:43:00Z
AH|TOL|58|-0.26|4.32|0.01|4.32|2012-10-12T00:31:00Z|2013-09-01T11:52:00Z
AH|TOL||||||2013-09-01T11:52:00Z|NULL
#NET=BJ,STA=BBS,MINCC=0.80,XYFILE=BJ.BBS.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
BJ|BBS|194|-3.77|6.78|-3.80|4.81|2007-09-02T01:05:00Z|2011-07-20T22:04:00Z
BJ|BBS|1|9.68|NA|9.68|0.00|2012-03-09T07:09:00Z|2012-03-09T07:09:00Z
BJ|BBS|50|5.57|4.58|5.66|1.93|2012-03-20T17:56:00Z|2013-03-13T03:12:00Z
BJ|BBS|12|7.71|26.22|0.42|3.06|2013-03-24T04:18:00Z|2013-05-23T21:07:00Z
BJ|BBS|1|-2.67|NA|-2.67|0.00|2013-06-13T16:47:00Z|2013-06-13T16:47:00Z
BJ|BBS|8|2.50|5.49|1.90|6.35|2013-07-02T07:37:00Z|2013-09-01T11:52:00Z
BJ|BBS||||||2013-09-01T11:52:00Z|NULL
#NET=BJ,STA=CIQ,MINCC=0.80,XYFILE=BJ.CIQ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
BJ|CIQ|3|-13.29|3.21|-12.48|2.85|2013-02-06T00:07:00Z|2013-02-28T14:05:00Z
BJ|CIQ|5|-13.40|4.20|-10.85|0.53|2013-03-01T12:53:00Z|2013-04-23T23:14:00Z
BJ|CIQ|2|-17.59|3.49|-17.59|3.65|2013-05-19T18:44:00Z|2013-05-23T17:19:00Z
BJ|CIQ|2|-11.14|4.60|-11.14|4.83|2013-06-02T20:08:00Z|2013-07-09T17:04:00Z
BJ|CIQ|2|-16.75|7.50|-16.75|7.86|2013-08-30T16:25:00Z|2013-09-01T11:52:00Z
BJ|CIQ|0|NA|NA|NA|NA|NA|2013-09-01T11:52:00Z
BJ|CIQ||||||2013-09-01T11:52:00Z|NULL
#NET=BJ,STA=DHC,MINCC=0.80,XYFILE=BJ.DHC.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
BJ|DHC|589|-5.20|5.99|-5.77|5.54|2007-09-12T11:10:00Z|2013-04-14T01:32:00Z
BJ|DHC|24|-1.42|8.64|-1.42|3.10|2013-04-16T10:44:00Z|2013-07-03T19:21:00Z
BJ|DHC|1|0.13|NA|0.13|0.00|2013-07-04T17:16:00Z|2013-07-04T17:16:00Z
BJ|DHC|12|1.08|7.85|0.53|9.40|2013-07-06T05:05:00Z|2013-09-01T11:52:00Z
BJ|DHC||||||2013-09-01T11:52:00Z|NULL
#NET=BJ,STA=FHY,MINCC=0.80,XYFILE=BJ.FHY.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
BJ|FHY|2|-2.83|3.92|-2.83|4.11|2013-03-24T04:18:00Z|2013-04-09T11:52:00Z
BJ|FHY|1|-2.50|NA|-2.50|0.00|2013-04-16T22:55:00Z|2013-04-16T22:55:00Z
BJ|FHY|1|-7.16|NA|-7.16|0.00|2013-05-23T17:19:00Z|2013-05-23T17:19:00Z
BJ|FHY|2|-3.65|3.68|-3.65|3.85|2013-08-30T16:25:00Z|2013-09-01T11:52:00Z
BJ|FHY|0|NA|NA|NA|NA|NA|2013-09-01T11:52:00Z
BJ|FHY||||||2013-09-01T11:52:00Z|NULL
#NET=BJ,STA=LBP,MINCC=0.80,XYFILE=BJ.LBP.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
BJ|LBP|114|-8.17|5.63|-7.37|3.62|2007-09-12T11:10:00Z|2009-02-12T03:49:00Z
BJ|LBP|123|-4.42|4.92|-4.05|2.91|2009-02-12T13:15:00Z|2010-08-04T07:15:00Z
BJ|LBP|93|13.96|5.42|14.51|4.18|2010-08-04T12:58:00Z|2011-10-06T07:37:00Z
BJ|LBP|5|25.54|5.70|26.42|1.85|2011-10-08T08:53:00Z|2011-10-23T10:41:00Z
BJ|LBP|96|13.80|5.98|14.84|3.77|2011-10-23T20:45:00Z|2013-03-24T04:18:00Z
BJ|LBP|39|1.05|7.52|0.78|5.93|2013-04-06T04:42:00Z|2013-09-01T11:52:00Z
BJ|LBP||||||2013-09-01T11:52:00Z|NULL
#NET=BJ,STA=LLM,MINCC=0.80,XYFILE=BJ.LLM.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
BJ|LLM|248|-0.28|5.49|0.23|4.68|2007-08-26T12:37:00Z|2010-04-05T10:05:00Z
BJ|LLM|1|0.96|NA|0.96|0.00|2010-04-06T22:15:00Z|2010-04-06T22:15:00Z
BJ|LLM|207|0.76|5.32|0.88|4.37|2010-04-17T23:15:00Z|2012-04-24T14:57:00Z
BJ|LLM|83|-1.58|5.82|-0.90|5.53|2012-04-25T07:42:00Z|2013-03-24T08:13:00Z
BJ|LLM|1|2.01|NA|2.01|0.00|2013-04-06T04:42:00Z|2013-04-06T04:42:00Z
BJ|LLM|40|2.23|4.90|2.33|6.49|2013-04-09T11:52:00Z|2013-09-02T04:30:00Z
BJ|LLM||||||2013-09-02T04:30:00Z|NULL
#NET=BJ,STA=MIY,MINCC=0.80,XYFILE=BJ.MIY.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
BJ|MIY|491|-10.16|6.81|-11.32|6.54|2007-08-26T12:37:00Z|2013-02-20T00:09:00Z
BJ|MIY|39|0.93|5.68|0.46|4.60|2013-02-23T08:59:00Z|2013-09-01T11:52:00Z
BJ|MIY||||||2013-09-01T11:52:00Z|NULL
#NET=BJ,STA=NKY,MINCC=0.80,XYFILE=BJ.NKY.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
BJ|NKY|65|-14.37|6.28|-12.14|4.03|2007-09-12T11:10:00Z|2008-03-11T14:37:00Z
BJ|NKY|1|-16.53|NA|-16.53|0.00|2008-03-12T11:23:00Z|2008-03-12T11:23:00Z
BJ|NKY|115|-13.92|5.74|-13.48|4.03|2008-03-15T14:43:00Z|2009-10-07T20:52:00Z
BJ|NKY|1|-11.65|NA|-11.65|0.00|2009-10-07T21:41:00Z|2009-10-07T21:41:00Z
BJ|NKY|324|-13.69|5.54|-13.31|4.20|2009-10-08T08:28:00Z|2013-02-23T14:31:00Z
BJ|NKY|45|1.27|5.25|1.76|5.04|2013-02-28T14:05:00Z|2013-09-01T11:52:00Z
BJ|NKY||||||2013-09-01T11:52:00Z|NULL
#NET=BJ,STA=SSL,MINCC=0.80,XYFILE=BJ.SSL.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
BJ|SSL|224|1.67|7.28|1.68|4.03|2007-09-12T11:10:00Z|2010-06-01T16:47:00Z
BJ|SSL|1|10.40|NA|10.40|0.00|2010-06-09T23:23:00Z|2010-06-09T23:23:00Z
BJ|SSL|147|0.94|6.59|1.32|3.45|2010-06-12T19:26:00Z|2012-05-12T23:28:00Z
BJ|SSL|1|-3.58|NA|-3.58|0.00|2012-05-24T22:47:00Z|2012-05-24T22:47:00Z
BJ|SSL|82|-0.14|6.90|1.06|3.28|2012-05-29T02:40:00Z|2013-09-01T11:52:00Z
BJ|SSL||||||2013-09-01T11:52:00Z|NULL
#NET=BJ,STA=XBZ,MINCC=0.80,XYFILE=BJ.XBZ.XY
